identifier,INF2cnt,INF4cnt,INF3cnt
ENSMUSG00000004630,90,115,86
ENSMUSG00000004631,0,0,3
ENSMUSG00000004633,387,372,460
ENSMUSG00000004637,278,245,240
ENSMUSG00000004642,622,541,610
ENSMUSG00000004661,314,287,373
ENSMUSG00000004665,203,143,205
ENSMUSG00000004667,1456,1658,1298
ENSMUSG00000004668,8,0,6
ENSMUSG00000004677,2589,2731,2594
ENSMUSG00000004698,123,146,230
ENSMUSG00000004707,3466,2697,3448
ENSMUSG00000004709,126,102,121
ENSMUSG00000004730,22437,16713,23028
ENSMUSG00000004748,0,3,0
ENSMUSG00000004768,40,68,79
ENSMUSG00000004771,4922,3524,4851
ENSMUSG00000004788,701,850,770
ENSMUSG00000004789,1819,1677,1869
ENSMUSG00000004791,1,15,1
ENSMUSG00000004798,923,613,1204
ENSMUSG00000004814,56,41,32
ENSMUSG00000004815,548,428,664
ENSMUSG00000004837,331,313,355
ENSMUSG00000004843,2728,2123,3031
ENSMUSG00000004846,677,731,695
ENSMUSG00000004849,2188,2465,2238
ENSMUSG00000004864,1,4,0
ENSMUSG00000004865,641,604,568
ENSMUSG00000004880,730,571,832
ENSMUSG00000004891,97,88,69
ENSMUSG00000004892,1,0,0
ENSMUSG00000004894,0,0,2
ENSMUSG00000004895,181,196,184
ENSMUSG00000004896,664,658,631
ENSMUSG00000004897,3502,3612,3287
ENSMUSG00000004902,8,13,10
ENSMUSG00000004929,144,158,162
ENSMUSG00000004931,247,270,248
ENSMUSG00000004933,435,448,469
ENSMUSG00000004934,546,584,548
ENSMUSG00000004936,2125,1480,2144
ENSMUSG00000004937,2178,1978,2093
ENSMUSG00000004945,733,977,628
ENSMUSG00000004947,237,248,243
ENSMUSG00000004948,0,0,2
ENSMUSG00000004951,5,8,1
ENSMUSG00000004952,5222,4974,5183
ENSMUSG00000004961,0,0,4
ENSMUSG00000004980,8576,6388,8513
ENSMUSG00000004988,3,3,6
ENSMUSG00000004994,260,309,232
ENSMUSG00000004996,178,340,207
ENSMUSG00000005034,2059,1508,2454
ENSMUSG00000005043,2093,2368,2012
ENSMUSG00000005045,2,7,2
ENSMUSG00000005054,31367,31675,27041
ENSMUSG00000005057,949,1057,1032
ENSMUSG00000005069,1197,1169,1159
ENSMUSG00000005078,652,800,758
ENSMUSG00000005087,12302,9605,11736
ENSMUSG00000005089,2,6,0
ENSMUSG00000005102,471,462,491
ENSMUSG00000005103,12833,11524,14205
ENSMUSG00000005107,42,48,40
ENSMUSG00000005124,1,0,0
ENSMUSG00000005125,718,671,701
ENSMUSG00000005131,10,2,2
ENSMUSG00000005142,18150,18331,20494
ENSMUSG00000005148,0,1,0
ENSMUSG00000005150,814,946,797
ENSMUSG00000005161,2742,3079,2672
ENSMUSG00000005198,1747,1649,1851
ENSMUSG00000005202,2,0,0
ENSMUSG00000005204,683,742,708
ENSMUSG00000005220,1,0,0
ENSMUSG00000005225,249,173,348
ENSMUSG00000005233,71,50,89
ENSMUSG00000005237,33,28,16
ENSMUSG00000005262,1730,1509,1626
ENSMUSG00000005267,48,41,87
ENSMUSG00000005268,0,1,0
ENSMUSG00000005299,1488,1571,1534
ENSMUSG00000005312,2172,1796,2469
ENSMUSG00000005320,4,4,2
ENSMUSG00000005354,2063,2203,1927
ENSMUSG00000005362,1492,1002,1692
ENSMUSG00000005370,383,300,334
ENSMUSG00000005371,1178,1005,1170
ENSMUSG00000005374,107,152,153
ENSMUSG00000005378,838,849,918
ENSMUSG00000005410,275,244,251
ENSMUSG00000005413,46809,39168,41680
ENSMUSG00000005417,1030,982,1053
ENSMUSG00000005442,1181,1359,1127
ENSMUSG00000005447,250,341,219
ENSMUSG00000005465,6,19,0
ENSMUSG00000005469,810,856,904
ENSMUSG00000005470,200,221,250
ENSMUSG00000005481,1865,1907,1876
ENSMUSG00000005483,1005,1067,1017
ENSMUSG00000005493,5,2,0
ENSMUSG00000005501,444,307,454
ENSMUSG00000005505,1070,966,1065
ENSMUSG00000005506,1813,1390,1834
ENSMUSG00000005510,1141,1202,1092
ENSMUSG00000005514,8389,7444,7843
ENSMUSG00000005533,532,450,411
ENSMUSG00000005534,470,428,397
ENSMUSG00000005540,0,5,0
ENSMUSG00000005553,1,0,0
ENSMUSG00000005566,1343,1538,1354
