Identifier,HK1cnt,HK2cnt,HK3cnt,INF2cnt,INF3cnt,INF4cnt,M01cnt,M02cnt,M03cnt
group,HK,HK,HK,INFEC,INFEC,INFEC,UN,UN,UN
ENSMUSG00000001436,379,343,552,254,329,333,446,562,393
ENSMUSG00000001440,1700,1465,2120,1318,1329,1306,1340,1397,1306
ENSMUSG00000001441,840,712,1082,1000,962,796,819,985,878
ENSMUSG00000001445,696,747,1043,697,580,707,896,970,807
ENSMUSG00000001467,2663,2892,3350,2314,2556,1944,2472,2555,2076
ENSMUSG00000001472,4805,4633,6667,4271,4110,4431,5090,5501,4676
ENSMUSG00000001473,6217,6282,9649,5129,4553,5035,4319,5221,3787
ENSMUSG00000001482,751,1050,1375,739,692,670,1316,1376,1119
ENSMUSG00000001493,3,4,2,5,0,0,2,4,2
ENSMUSG00000001506,0,7,0,0,0,0,0,0,0
ENSMUSG00000001507,0,1,2,2,0,1,0,2,2
ENSMUSG00000001508,0,0,0,0,0,0,4,0,0
ENSMUSG00000001517,60,57,78,63,74,42,72,91,68
ENSMUSG00000001518,122,112,224,116,139,116,154,189,144
ENSMUSG00000001520,18,18,17,21,19,19,14,24,17
ENSMUSG00000001521,63,53,65,64,58,48,41,91,60
ENSMUSG00000001524,147,182,239,155,164,193,249,214,189
ENSMUSG00000001525,4028,3325,4942,3226,3200,3923,3010,3882,3000
ENSMUSG00000001542,6090,4664,6536,4021,4135,2878,3425,3298,2841
ENSMUSG00000001552,111,94,149,75,107,104,139,147,118
ENSMUSG00000001555,0,0,2,1,0,0,0,0,0
ENSMUSG00000001558,0,1,0,0,1,0,1,0,0
ENSMUSG00000001569,1106,959,1205,920,946,907,1106,1341,972
ENSMUSG00000001576,1264,1352,2266,1028,1066,1026,1322,1790,1182
ENSMUSG00000001583,64,46,85,69,68,89,99,91,84
ENSMUSG00000001588,6,15,4,7,5,7,8,9,8
ENSMUSG00000001604,11,12,18,11,12,21,22,16,14
ENSMUSG00000001627,4267,3802,5672,3024,3177,2364,1757,1698,1562
ENSMUSG00000001630,379,399,453,262,274,219,253,249,252
ENSMUSG00000001632,1894,1972,2456,1401,1558,1297,2011,2492,1837
ENSMUSG00000001642,1313,1212,1871,1195,1212,1287,1463,1873,1359
ENSMUSG00000001663,22,19,22,11,23,32,12,24,30
ENSMUSG00000001665,106,103,159,82,106,122,162,160,184
ENSMUSG00000001666,107,119,184,172,136,178,109,124,126
ENSMUSG00000001674,449,439,529,364,402,405,458,449,331
ENSMUSG00000001687,6184,6047,8217,5529,6133,4502,6718,6923,6101
ENSMUSG00000001700,592,574,831,387,528,391,668,751,618
ENSMUSG00000001707,536,416,586,365,368,403,361,374,355
ENSMUSG00000001729,9262,9275,13996,8306,8697,8598,10489,14016,10484
ENSMUSG00000001739,2,0,1,1,0,0,0,0,0
ENSMUSG00000001741,278,267,391,340,272,329,642,814,658
ENSMUSG00000001750,8470,8280,12869,8587,7983,8723,8967,11404,8422
ENSMUSG00000001751,4187,4170,6423,4575,4686,4834,5630,7143,5602
ENSMUSG00000001755,461,480,658,450,505,500,656,812,625
ENSMUSG00000001761,41,48,50,40,35,12,64,56,47
ENSMUSG00000001763,126,118,156,85,90,83,81,112,99
ENSMUSG00000001767,968,1077,1218,866,835,549,1012,1065,883
ENSMUSG00000001768,4415,3798,5072,3344,4167,2720,7222,7427,6834
ENSMUSG00000001774,435,415,663,393,572,292,420,486,423
ENSMUSG00000001783,3068,2810,3989,2721,2862,3139,4034,4794,3746
ENSMUSG00000001785,874,869,1222,701,769,646,1048,1022,938
ENSMUSG00000001786,511,475,622,451,561,422,638,561,598
ENSMUSG00000001794,3930,3660,4795,3909,3330,3857,3606,3838,3504
ENSMUSG00000001802,1,0,0,0,0,0,0,0,0
ENSMUSG00000001827,3,8,20,17,10,8,13,9,10
ENSMUSG00000001829,463,424,657,409,322,470,526,563,471
ENSMUSG00000001833,5290,4416,5020,4002,4345,2571,4033,4093,4249
ENSMUSG00000001844,1131,1141,1682,1055,1154,1144,1466,1592,1339
ENSMUSG00000001847,16214,15639,21840,12620,14193,11652,17170,19636,16553
ENSMUSG00000001855,1202,1276,1495,1289,1295,1027,1367,1470,1245
ENSMUSG00000001865,2,0,2,8,0,2,2,1,1
ENSMUSG00000001870,1,6,2,6,6,10,17,18,5
ENSMUSG00000001891,2510,2463,2848,1925,2082,1436,2138,2569,2367
ENSMUSG00000001901,1,0,0,0,0,1,0,0,0
ENSMUSG00000001909,492,448,617,494,437,503,550,529,493
ENSMUSG00000001910,597,579,910,374,514,380,579,672,553
ENSMUSG00000001911,223,281,337,216,265,254,285,379,252
ENSMUSG00000001918,955,943,1299,720,711,758,997,1013,945
ENSMUSG00000001924,4238,3999,5359,3248,3130,3007,3922,4494,3864
ENSMUSG00000001930,417,342,470,390,335,434,424,483,530
ENSMUSG00000001942,1042,1029,1259,937,935,706,1281,1280,1361
ENSMUSG00000001943,1,0,0,0,0,0,0,0,1
ENSMUSG00000001946,3,0,0,0,0,11,0,0,0
ENSMUSG00000001948,28,27,24,22,19,36,27,22,19
ENSMUSG00000001962,1059,880,1293,1136,947,1167,1108,1288,1108
ENSMUSG00000001964,201,215,583,221,205,538,293,414,177
ENSMUSG00000001983,38,65,65,64,30,66,57,66,54
ENSMUSG00000001986,6,0,2,7,1,6,2,7,8
ENSMUSG00000001988,4,11,17,8,9,7,20,17,13
ENSMUSG00000001995,667,617,776,283,578,425,830,1169,896
ENSMUSG00000001998,211,244,300,185,179,133,247,286,230
ENSMUSG00000001999,3185,2581,3689,3280,2988,3201,3083,3616,3243
ENSMUSG00000002006,0,1,4,2,0,4,4,3,4
ENSMUSG00000002007,3,10,26,4,20,2,1,9,11
ENSMUSG00000002010,2434,2168,2876,2163,2146,2147,2828,3651,2742
ENSMUSG00000002012,0,0,1,0,6,0,0,0,0
ENSMUSG00000002014,2565,2577,3823,2898,2368,3047,2806,3027,2576
ENSMUSG00000002015,5202,5000,6712,4759,4920,4447,5685,5935,5285
ENSMUSG00000002017,229,232,350,227,213,177,252,218,207
ENSMUSG00000002020,25,11,6,12,6,5,12,21,4
ENSMUSG00000002028,842,612,815,809,695,791,805,850,686
ENSMUSG00000002031,283,304,373,330,290,365,413,432,381
ENSMUSG00000002032,21,26,47,29,12,6,32,55,27
ENSMUSG00000002033,0,0,1,0,0,0,0,0,1
ENSMUSG00000002043,709,633,1027,764,655,998,682,861,718
ENSMUSG00000002052,1209,921,1217,815,896,893,867,1171,798
ENSMUSG00000002055,23,32,26,5,23,4,17,30,37
ENSMUSG00000002058,379,267,470,343,255,359,381,464,376
ENSMUSG00000002059,303,370,536,327,369,335,398,481,345
ENSMUSG00000002064,1213,1127,1560,1166,998,1121,1173,1383,1130
ENSMUSG00000002068,60,61,84,59,39,25,52,52,36
ENSMUSG00000002076,12,20,14,29,6,9,6,14,1
ENSMUSG00000002083,298,342,502,372,384,417,417,518,502
ENSMUSG00000002100,23,22,28,31,20,29,9,10,5
ENSMUSG00000002102,3617,3188,4906,3303,3000,3534,3091,3907,3103
ENSMUSG00000002103,7317,7339,10095,6352,6341,5255,6216,6715,5599
ENSMUSG00000002104,171,122,224,195,176,239,292,298,267
ENSMUSG00000002105,619,697,907,490,535,545,565,591,484
ENSMUSG00000002107,3086,2540,3338,2671,3045,2539,3354,3861,3442
ENSMUSG00000002108,268,372,465,278,263,252,177,173,129
ENSMUSG00000002109,1950,1790,2418,1549,1592,1331,1543,1625,1475
ENSMUSG00000002111,13939,14228,21879,11840,11707,12032,11181,12556,10126
ENSMUSG00000002129,772,721,1051,659,735,665,835,997,850
ENSMUSG00000002147,4911,4997,7038,3700,4084,3562,5002,5617,4901
ENSMUSG00000002190,0,0,0,0,0,0,0,1,0
ENSMUSG00000002204,1554,1309,2152,1362,1325,1561,1628,1894,1554
ENSMUSG00000002205,816,752,1041,811,834,874,905,1006,877
ENSMUSG00000002210,1399,1331,2030,1202,1107,1197,1080,1276,1071
ENSMUSG00000002221,514,466,758,321,459,293,667,619,586
ENSMUSG00000002222,1317,1185,1490,1209,1222,960,1698,1777,1849
ENSMUSG00000002227,229,198,213,113,169,148,195,287,236
ENSMUSG00000002228,7,2,8,5,5,3,5,6,7
ENSMUSG00000002233,1014,1030,1608,827,788,978,579,713,666
ENSMUSG00000002249,0,1,3,1,0,0,3,1,1
ENSMUSG00000002250,64,43,67,86,61,75,81,78,77
ENSMUSG00000002257,356,343,514,350,318,349,488,544,454
ENSMUSG00000002274,198,176,325,198,211,281,230,325,228
ENSMUSG00000002279,435,366,561,358,353,410,467,579,487
ENSMUSG00000002280,1053,1073,1504,988,949,1160,1208,1509,1173
ENSMUSG00000002289,85,55,89,22,24,30,60,49,29
ENSMUSG00000002297,501,406,496,467,487,390,505,594,499
ENSMUSG00000002307,864,1025,1624,733,820,931,842,1044,827
ENSMUSG00000002308,89,120,197,126,135,203,165,210,164
ENSMUSG00000002319,452,513,766,371,454,411,660,659,674
ENSMUSG00000002320,1289,1176,1865,930,947,798,1541,1747,1357
ENSMUSG00000002324,0,0,1,0,0,2,0,2,0
ENSMUSG00000002325,823,918,1269,748,858,919,1117,1298,1097
ENSMUSG00000002326,1286,1209,1705,1122,1061,1059,1280,1375,1194
ENSMUSG00000002329,681,640,933,602,640,676,757,870,746
ENSMUSG00000002332,930,904,1408,840,917,890,1288,1386,1100
ENSMUSG00000002341,0,0,0,0,0,0,0,3,0
ENSMUSG00000002342,468,443,624,479,355,392,512,562,466
ENSMUSG00000002343,115,140,127,99,66,78,142,126,92
ENSMUSG00000002345,294,271,398,258,267,272,333,356,342
ENSMUSG00000002346,19,21,14,16,23,12,30,57,48
ENSMUSG00000002365,1917,2046,2972,1674,2053,1742,2872,3196,2654
ENSMUSG00000002372,957,926,1483,857,807,848,1026,1372,1018
ENSMUSG00000002379,1805,1606,2560,1876,1666,2173,1740,1970,1590
ENSMUSG00000002384,116,84,149,100,85,108,135,119,93
ENSMUSG00000002393,465,492,637,409,459,545,524,829,530
ENSMUSG00000002395,1583,1171,1920,1518,1290,1830,1408,1860,1390
ENSMUSG00000002396,762,713,1064,768,780,941,907,1191,876
ENSMUSG00000002409,199,193,225,125,187,194,285,422,324
ENSMUSG00000002413,972,924,1169,787,935,512,1139,981,1011
ENSMUSG00000002416,304,275,305,312,218,247,221,220,240
ENSMUSG00000002428,405,323,295,337,311,193,460,480,492
ENSMUSG00000002455,1104,1160,1636,999,968,908,1255,1510,1206
ENSMUSG00000002458,2124,2037,2904,1674,1904,1907,2719,2809,2484
ENSMUSG00000002475,72,59,77,31,76,53,97,104,159
ENSMUSG00000002477,1338,977,1272,1242,993,935,831,838,912
ENSMUSG00000002486,90,71,92,62,108,113,168,131,129
ENSMUSG00000002489,120,85,174,79,87,109,98,153,133
ENSMUSG00000002496,959,1055,1411,838,878,880,1195,1320,1158
ENSMUSG00000002500,4,1,2,0,0,1,2,5,2
ENSMUSG00000002504,1,3,1,7,1,7,2,4,3
ENSMUSG00000002524,2793,2450,4125,2448,2357,2410,3156,3667,2695
ENSMUSG00000002546,824,796,1024,733,747,697,847,989,891
ENSMUSG00000002550,698,593,1002,636,655,569,752,905,699
ENSMUSG00000002565,0,6,0,0,0,0,4,0,0
ENSMUSG00000002578,0,2,0,0,1,1,0,0,1
ENSMUSG00000002580,1139,1004,1591,1219,1098,1452,1189,1273,1148
ENSMUSG00000002588,0,0,1,0,0,1,3,0,0
ENSMUSG00000002602,2794,2757,3837,2040,2358,1875,2689,3336,2501
ENSMUSG00000002603,4971,5092,7874,4622,4531,4457,5027,6211,5015
ENSMUSG00000002608,498,435,710,376,475,416,738,768,704
ENSMUSG00000002617,167,111,85,75,96,82,87,121,88
ENSMUSG00000002625,778,704,1036,705,669,743,947,1015,805
ENSMUSG00000002635,555,462,772,562,521,644,771,822,652
ENSMUSG00000002658,1278,1030,1877,1059,987,1297,906,1185,964
ENSMUSG00000002660,600,483,801,550,532,583,630,737,556
ENSMUSG00000002661,161,161,232,176,194,206,226,259,227
ENSMUSG00000002664,3,0,2,0,0,0,0,1,0
ENSMUSG00000002668,391,372,547,424,316,307,466,526,428
ENSMUSG00000002679,634,624,765,636,621,567,697,707,675
ENSMUSG00000002699,2851,2942,4195,2294,2536,1873,2108,2338,1867
ENSMUSG00000002718,982,980,1177,661,862,554,886,904,1047
ENSMUSG00000002728,2698,2554,3205,2963,2956,2667,3096,3436,3080
ENSMUSG00000002731,482,310,413,364,369,320,457,484,429
ENSMUSG00000002732,169,136,175,166,166,185,179,196,211
ENSMUSG00000002733,682,641,905,592,669,451,682,801,704
ENSMUSG00000002741,3699,3773,5506,3199,3087,2790,3304,3771,3060
ENSMUSG00000002748,937,677,824,899,759,808,1206,1115,1014
ENSMUSG00000002763,207,247,358,247,260,236,330,346,324
ENSMUSG00000002767,847,727,1085,810,774,1007,854,1105,947
ENSMUSG00000002768,1063,899,1295,1004,864,1088,1018,1176,1000
ENSMUSG00000002769,14,9,21,12,16,19,10,13,7
ENSMUSG00000002771,11,7,18,12,8,11,22,24,20
ENSMUSG00000002778,624,676,1389,653,619,787,790,1067,684
ENSMUSG00000002781,91,61,93,72,51,61,92,112,65
ENSMUSG00000002791,0,0,0,1,0,0,1,1,1
