"Peak id","Mass","RT","UN_1.mzXML","UN4.mzXML","INFEC_1.mzXML","INFEC_2.mzXML","INFEC_3.mzXML","INFEC_4.mzXML","HK1.mzXML","HK2.mzXML","HK3.mzXML","HK4.mzXML","SOR_UN1.mzXML","SOR_UN2.mzXML","SOR_UN3.mzXML","SOR_UN4.mzXML","SOR_INF1.mzXML","SOR_INF2.mzXML","SOR_INF3.mzXML","SOR_HK1.mzXML","SOR_HK2.mzXML","SOR_HK3.mzXML","SOR_HK4.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","KEGG ID"
"3702","165.0921","321.95","226052.7","210707.86","296485.28","308025.44","216956.31","275713.75","299181.16","349548.78","337471","275057.47","264915.66","280332.28","344576.56","312559.44","322667.22","362927.25","355672.53","368476.28","401594.94","529944.06","302710.78","negative","No Fragments","(+)-Bornane-2,5-dione,(+/-)-Asarinol A,(1R)-bornane-2,3-dione,(1R)-bornane-2,5-dione,(1S)-bornane-2,3-dione,(1S)-bornane-2,5-dione,(1xi,4xi,6xi)-Carvone oxide,(3E,8E)-suspensolide,(6E)-8-Oxogeranial,1,1-Dimethoxy-2-phenylethane,1,2:3,4-Diepoxy-p-menth-8-ene,1,4-Epidioxy-p-mentha-2,8-diene,2,4,7-Decatrienoic acid,2-(4-methoxyphenyl)propan-2-ol,2-Hydroxy-p-mentha-1,8-dien-6-one,2-Methoxy-4-propylphenol,2-tert-Butyl-1,4-benzenediol,2E,6E,8E-decatrienoic acid,2E,6Z,8E-decatrienoic acid,3-Hydroxy-p-mentha-1,8-dien-7-al,4-(4-Hydroxyphenyl)-2-butanol,4-Butoxyphenol,4-Ethyl-1,2-dimethoxybenzene,4-n-Butylresorcinol,5-Hydroxy-p-mentha-6,8-dien-2-one,6-Pentyl-2H-pyran-2-one,Bornane-2,6-dione,Camphorquinone,Carvone oxide,Dolichodial,Epinepetalactone,Isomintlactone,Karahana lactone,Marmelolactone A,Myrtenic acid,Nepetalactone cis-trans-form,Nepetalactone trans-cis-form,Oxocamphor,Pentyl 2-furyl ketone,Perilla ketone,Perillic acid,Piquerol A,Rotundifolone,Wine lactone,alpha-Teresantalic acid,bornane-2,3-dione,dolichodial","C03037,C09777,C09791,C09792,C09841,C09887,C09896,C11924,C11940,C14351,C14515,C17622,C17690,C17824,C18343,C18352,C20320,HMDB04586,HMDB29691,HMDB31085,HMDB32062,HMDB32135,HMDB32462,HMDB32615,HMDB34922,HMDB35063,HMDB35235,HMDB35328,HMDB36042,HMDB36084,HMDB36878,HMDB36879,HMDB37011,HMDB37012,HMDB37044,HMDB39382,HMDB40176,HMDB41000,HMDB41584,HMDB62603,LMFA01030215,LMFA01030216,LMFA07040014,LMPR0102070013,LMPR0102070014,LMPR0102070037,LMPR0102090018,LMPR0102090041,LMPR0102120008,LMPR0102120024,LMPR0102120030,LMPR0102120032,LMPR0102120033,LMPR0102120034,LMPR0102120045"
"3703","396.2475","234.88","337285.75","280212.56","328026.34","308767.06","236816.09","429604.16","304134.13","248853.66","447076.88","293009.94","365374.38","477315.81","442870.91","430311.16","495802.06","527824","494262.53","446246.25","430306.5","407064.16","373587.28","negative","No Fragments","",""
"3704","285.7997","2716.04","232310.39","250204.34","246125.3","245230.31","285961.53","384239.53","246794.5","239631.61","192767.52","222989.8","515526.94","504537.94","495115.31","482075.88","492039.31","501872.31","522713.72","494015.56","526200.69","488627.44","460223.84","negative","No Fragments","",""
"3705","326.1096","878.6","222824.09","159138.55","224497.3","167088.36","521360.75","214997.7","305304.06","201191.23","248970.72","199798.17","127731.81","365436.06","187846.81","261985.08","163885.53","133317.56","182141.39","253040.23","110296.98","157542.94","281341.25","negative","No Fragments","",""
"3706","370.0732","876.33","73645.34","64535.91","60958.16","46365.05","137058.02","44927.29","75433.62","51383.54","79233.98","56094.3","26817.57","61627.29","33202.5","38263.36","11861.67","12172.26","34684.73","37480.08","11968.97","24994.08","33055.96","negative","No Fragments","",""
"3707","78.9589","991.21","304651.31","309319.81","408639.72","263215.38","278679.06","374146.19","302438.16","520741.97","350575.72","348728.06","291504.03","369977.63","367882.72","331866.25","325150.06","304794.66","380416.28","379649.75","344554.84","390998.38","396574.47","negative","No Fragments","",""
"3708","195.9059","1314.03","282713","264571.09","255513.86","256498.59","274777.28","283873.38","256898.16","290175.13","274039.41","273995.44","491161.47","438721.13","451657.31","457797.75","454843.84","424980.72","451848.5","453518.03","436462.41","434657.44","517111.44","negative","No Fragments","",""
"3709","152.9272","951.14","254818.28","246382.83","277408.56","259525.03","200338.7","281497","256702.2","265531.5","249319.17","270150.63","388228.97","232361.17","232142.72","277809.44","227626.5","235288.38","241918.72","255244.33","242886.91","515031","224754.11","negative","No Fragments","",""
"3710","232.8936","952.29","124268.36","102659.84","120370.34","103086.11","92198.38","121173.03","113028.33","121934.05","109973.23","109681.66","135233.22","63426.3","142875.8","96997.43","67422.05","106706.01","76146.45","125644.78","105453.6","245085.58","94972.41","negative","No Fragments","",""
"3711","283.2643","773.49","389946.97","343126.06","486163.97","382297.5","413200.09","481615.69","512288.19","495624.13","504432.78","396374.59","207653.31","343946.41","444011.81","260307.17","220734.08","389083.81","396722.72","452549.84","221288.58","287475.13","377101.81","negative","No Fragments","(+)-Isostearic acid,10-methyl-heptadecanoic acid,11,15-dimethyl-hexadecanoic acid,14-Methylheptadecanoic acid,15-methyl-heptadecanoic acid,16-Methylheptadecanoic acid,2,14-dimethyl-hexadecanoic acid,2,6-Dimethyl-5-heptenyl nonanoate,2,6-dimethyl-hexadecanoic acid,4,14-dimethyl-hexadecanoic acid,4,8-dimethyl-hexadecanoic acid,6,14-dimethyl-hexadecanoic acid,7-Methyloctyl 7-methyloctanoate,Ethyl hexadecanoate,Hexadecyl acetate,Hexyl dodecanoate,Isooctadecanoic acid,Methyl 14-methyl-8-hexadecenoate,Octadecanoic acid,Stearic acid,Tetradecyl isobutyrate,decyl octanoate,dodecyl hexanoate,ethyl hexadecanoate,formyl heptadecanoate,hexyl dodecanoate,lambda isostearic acid,neostearic acid,octyl decanoate,tetradecyl butyrate","C01530,C20356,HMDB00827,HMDB29811,HMDB31066,HMDB61946,LMFA01010018,LMFA01020013,LMFA01020014,LMFA01020042,LMFA01020043,LMFA01020044,LMFA01020045,LMFA01020046,LMFA01020093,LMFA01020094,LMFA01020175,LMFA01020205,LMFA01020292,LMFA07010379,LMFA07010426,LMFA07010441,LMFA07010450,LMFA07010457,LMFA07010466,LMFA07010471,LMFA07010473,LMFA07010527,LMFA07010597,LMFA07010601,LMFA07010679"
