"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000002332",1051.87434660965,0.219866257587756,0.0948747656860392,2.31743663341779,0.0204799587236572,0.0802426572178559
"ENSMUSG00000002341",0.278954165154675,2.29143731190936,4.00290651425282,0.572443374270777,0.567021637982532,NA
"ENSMUSG00000002342",470.645027207974,-0.0038242525082973,0.124091638481941,-0.030817970937291,0.975414708491289,0.991492972916969
"ENSMUSG00000002343",107.930444008622,-0.125080110706781,0.246942070136857,-0.506516004492312,0.612494457278241,0.794610621293651
"ENSMUSG00000002345",305.63823394876,0.0963981188112478,0.123518580000022,0.780434156636442,0.435135369480795,0.641946119249977
"ENSMUSG00000002346",26.0103076125447,1.26285473270512,0.44156761291779,2.85993513962773,0.00423727660802526,0.0234699452839722
"ENSMUSG00000002365",2294.46738204456,0.329098270992101,0.0981719116290757,3.352265077974,0.000801532339864262,0.00560821945322368
"ENSMUSG00000002372",1008.78630597735,0.0195412798398499,0.102963319097774,0.189788752063183,0.849474670257388,0.942163153462931
"ENSMUSG00000002379",1875.43699706525,-0.171603898848315,0.108345203947529,-1.5838624378004,0.11322502685063,0.266022725632218
"ENSMUSG00000002384",108.234540503768,-0.00510554844499807,0.217820917502147,-0.023439201815628,0.981299935060157,0.992024524514367
"ENSMUSG00000002393",534.374724593983,0.213673859830504,0.154695552244481,1.38125406147951,0.167200857617556,0.352302490424235
"ENSMUSG00000002395",1540.96753212517,-0.0135918756112455,0.136039121952492,-0.0999115211578043,0.920414569560221,0.96140987166913
"ENSMUSG00000002396",878.386524890018,0.218433229638907,0.114597230209425,1.90609519304892,0.0566378562619189,0.163208775832632
"ENSMUSG00000002409",233.456469504311,0.710249210203454,0.188231767696668,3.77326961805942,0.000161122002006728,0.00151346525113792
"ENSMUSG00000002413",922.581721861455,0.0216812274242261,0.172464906856353,0.125713849961863,0.899958438165518,0.952102127637343
"ENSMUSG00000002416",261.050017431819,-0.398439071722221,0.179366745242979,-2.22136534385165,0.0263262263387089,0.095720475573611
"ENSMUSG00000002428",362.275132659296,0.440512307429572,0.219510600536586,2.00679286719072,0.0447717226775748,0.134898512953605
"ENSMUSG00000002455",1169.64307142823,0.0184715386469872,0.0873887731731523,0.211371987227554,0.832597013872796,0.935786437220335
"ENSMUSG00000002458",2242.33564482849,0.177340356977332,0.0843498228608047,2.10243899705612,0.0355148381339927,0.11710229412539
"ENSMUSG00000002475",79.2751147651434,0.791724432805932,0.325440270953383,2.43277954042553,0.0149834206809068,0.0644635540922734
"ENSMUSG00000002477",1040.14486259625,-0.490312037613668,0.147491296697105,-3.32434556203404,0.000886263049403605,0.00607254311628396
"ENSMUSG00000002486",106.296884213899,0.747035865045248,0.260829716921388,2.86407497528512,0.00418229005429361,0.0233049295194072
"ENSMUSG00000002489",112.321424157464,0.0300115402772777,0.231032136639043,0.129902015857503,0.896643949380983,0.952102127637343
"ENSMUSG00000002496",1057.54064625603,0.093599715158008,0.0922918020259887,1.01417149847883,0.310500926043989,0.528209802611968
"ENSMUSG00000002500",1.76009534113583,0.303096787281381,1.4015867343558,0.216252608455724,0.828790847948134,0.933777751951308
"ENSMUSG00000002504",3.37117929986967,0.771687622040092,1.22233140777758,0.631324383166394,0.5278284470547,0.72621557611503
"ENSMUSG00000002524",2837.12438411075,0.0250656625500387,0.0896894699846486,0.279471632002386,0.779882905433813,0.909699479856592
"ENSMUSG00000002546",828.566460588042,0.0304276984523787,0.0908821403818548,0.33480393754518,0.737772990043407,0.886285734792404
